DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2014,25,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2015,18,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2016,29,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2017,51,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2018,52,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2019,86,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EE,2020,82,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2011,58,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2012,61,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2013,90,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2014,395,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2015,621,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2016,823,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2017,1070,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2018,1066,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2019,1310,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EL,2020,1454,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2011,9763,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2012,11000,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2013,10945,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2014,11990,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2015,13749,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2016,13444,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2017,13990,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2018,14441,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2019,14693,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2020,14178,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,ES,2021,13003,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EU27_2020,2011,59886,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EU27_2020,2012,68768,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EU27_2020,2013,74998,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,F,Y_GE65,F01_F03,TOT_IN,EU27_2020,2014,76878,
